&b / °	R_0 / 1/s
2.0	5
2.2	5
2.4	4
2.6	4
2.8	3
3.0	4
3.2	4
3.4	4
3.6	8
3.8	43
4.0	154
4.2	299
4.4	380
4.6	443
4.8	481
5.0	511
5.2	526
5.4	496
5.6	472
5.8	457
6.0	448
6.2	598
6.4	887
6.6	490
6.8	394
7.0	787
7.2	1773
7.4	681
7.6	314
7.8	268
8.0	217
8.2	209
8.4	199
8.6	201
8.8	185
9.0	187
9.2	172
9.4	170
9.6	140
9.8	148
10.0	135
10.2	137
10.4	129
10.6	120
10.8	136
11.0	117
11.2	109
11.4	76
11.6	107
11.8	100
12.0	102
12.2	94
12.4	81
12.6	121
12.8	202
13.0	195
13.2	105
13.4	103
13.6	100
13.8	86
14.0	84
14.2	84
14.4	285
14.6	535
14.8	126
15.0	78
15.2	73
15.4	68
15.6	67
15.8	60
16.0	42
16.2	53
16.4	48
16.6	63
16.8	54
17.0	48
17.2	44
17.4	46
17.6	41
17.8	41
18.0	38
18.2	42
18.4	38
18.6	33
18.8	30
19.0	43
19.2	41
19.4	45
19.6	68
19.8	37
20.0	28
20.2	28
20.4	21
20.6	29
20.8	31
21.0	25
21.2	22
21.4	24
21.6	21
21.8	29
22.0	71
22.2	138
22.4	46
22.6	24
22.8	17
23.0	17
23.2	12
23.4	18
23.6	17
23.8	14
24.0	19
24.2	18
24.4	16
24.6	13
24.8	12
25.0	18
