&b / °	R_0 / 1/s
2.0	0.5
2.2	1.5
2.4	2.5
2.6	3.0
2.8	4.5
3.0	2.0
3.2	1.5
3.4	5.5
3.6	3.0
3.8	3.5
4.0	13.0
4.2	74.0
4.4	185.0
4.6	273.0
4.8	343.5
5.0	380.5
5.2	401.0
5.4	427.5
5.6	410.5
5.8	420.5
6.0	374.0
6.2	483.0
6.4	691.5
6.6	405.0
6.8	345.0
7.0	560.0
7.2	1338.0
7.4	552.0
7.6	261.5
7.8	214.0
8.0	189.0
8.2	155.5
8.4	165.5
8.6	137.0
8.8	134.0
9.0	139.5
9.2	126.5
9.4	127.5
9.6	118.0
9.8	111.5
10.0	112.0
10.2	108.0
10.4	107.0
10.6	100.0
10.8	102.5
11.0	100.0
11.2	87.5
11.4	78.0
11.6	81.5
11.8	79.5
12.0	73.5
12.2	76.5
12.4	66.5
12.6	77.5
12.8	144.0
13.0	154.0
13.2	66.5
13.4	62.5
13.6	72.5
13.8	61.5
14.0	65.5
14.2	58.5
14.4	174.0
14.6	408.0
14.8	106.0
15.0	63.0
15.2	59.0
15.4	48.5
15.6	51.0
15.8	47.5
16.0	48.5
16.2	49.5
16.4	46.5
16.6	37.5
16.8	38.5
17.0	36.5
17.2	40.0
17.4	40.0
17.6	32.5
17.8	31.5
18.0	30.5
18.2	36.5
18.4	31.0
18.6	28.0
18.8	29.0
19.0	21.5
19.2	33.5
19.4	27.5
19.6	43.0
19.8	31.5
20.0	23.0
20.2	18.0
20.4	22.5
20.6	25.5
20.8	17.0
21.0	20.5
21.2	15.0
21.4	20.0
21.6	19.5
21.8	21.0
22.0	45.5
22.2	101.0
22.4	36.0
22.6	17.0
22.8	12.5
23.0	16.0
23.2	15.0
23.4	12.5
23.6	13.0
23.8	13.5
24.0	8.0
24.2	9.0
24.4	9.0
24.6	12.5
24.8	12.0
25.0	11.0
