&b / °	R_0 / 1/s	R_1 / 1/s
2.0	7	6
2.1	4	
2.2	3	8
2.3	6	
2.4	2	7
2.5	5	
2.6	6	9
2.7	6	
2.8	6	6
2.9	5	
3.0	7	8
3.1	10	
3.2	10	7
3.3	12	
3.4	31	35
3.5	72	
3.6	153	164
3.7	241	
3.8	321	340
3.9	399	
4.0	503	513
4.1	532	
4.2	586	608
4.3	583	
4.4	633	666
4.5	670	
4.6	666	675
4.7	675	
4.8	688	684
4.9	677	
5.0	698	693
5.1	681	
5.2	635	674
5.3	622	
5.4	640	661
5.5	615	
5.6	613	630
5.7	604	
5.8	587	587
5.9	548	
6.0	560	567
6.1	568	
6.2	719	736
6.3	956	
6.4	1179	1177
6.5	909	
6.6	650	647
6.7	491	
6.8	492	500
6.9	535	
7.0	917	948
7.1	1651	
7.2	2404	2491
7.3	1947	
7.4	1006	1014
7.5	592	
7.6	437	429
7.7	382	
7.8	358	334
7.9	332	
8.0	329	330
8.1	318	
8.2	319	325
8.3	304	
8.4	293	287
8.5	278	
8.6	282	307
8.7	282	
8.8	260	280
8.9	296	
9.0	244	261
9.1	263	
9.2	217	248
9.3	218	
9.4	206	221
9.5	211	
9.6	207	214
9.7	206	
9.8	161	186
9.9	173	
10.0	173	182
10.1	168	
10.2	174	186
10.3	176	
10.4	170	178
10.5	141	
10.6	159	161
10.7	146	
10.8	135	154
10.9	146	
11.0	153	148
11.1	149	
11.2	140	129
11.3	127	
11.4	142	133
11.5	125	
11.6	139	143
11.7	129	
11.8	147	137
11.9	120	
12.0	133	128
12.1	126	
12.2	123	137
12.3	115	
12.4	121	107
12.5	143	
12.6	145	150
12.7	175	
12.8	246	253
12.9	356	
13.0	315	306
13.1	187	
13.2	127	144
13.3	118	
13.4	108	116
13.5	121	
13.6	112	111
13.7	110	
13.8	108	112
13.9	121	
14.0	106	96
14.1	108	
14.2	111	107
14.3	132	
14.4	287	307
14.5	692	
14.6	834	832
14.7	532	
14.8	218	213
14.9	126	
15.0	99	105
15.1	106	
15.2	84	88
15.3	87	
15.4	80	81
15.5	81	
15.6	78	88
15.7	70	
15.8	67	82
15.9	76	
16.0	76	76
16.1	72	
16.2	73	69
16.3	76	
16.4	69	61
16.5	75	
16.6	70	71
16.7	68	
16.8	62	69
16.9	72	
17.0	62	57
17.1	67	
17.2	50	81
17.3	56	
17.4	58	59
17.5	62	
17.6	60	65
17.7	57	
17.8	55	60
17.9	54	
18.0	51	56
18.1	48	
18.2	61	53
18.3	50	
18.4	49	49
18.5	51	
18.6	49	44
18.7	47	
18.8	40	50
18.9	50	
19.0	40	42
19.1	48	
19.2	54	56
19.3	43	
19.4	53	50
19.5	74	
19.6	113	87
19.7	88	
19.8	50	59
19.9	40	
20.0	40	41
20.1	30	
20.2	38	44
20.3	39	
20.4	34	41
20.5	38	
20.6	36	30
20.7	40	
20.8	25	25
20.9	26	
21.0	36	34
21.1	26	
21.2	34	40
21.3	34	
21.4	33	26
21.5	32	
21.6	33	31
21.7	33	
21.8	37	31
21.9	33	
22.0	92	97
22.1	183	
22.2	203	203
22.3	144	
22.4	64	83
22.5	36	
22.6	32	25
22.7	31	
22.8	27	29
22.9	37	
23.0	26	31
23.1	21	
23.2	22	26
23.3	28	
23.4	27	18
23.5	24	
23.6	32	25
23.7	21	
23.8	24	21
23.9	23	
24.0	21	18
24.1	23	
24.2	24	17
24.3	22	
24.4	19	22
24.5	21	
24.6	21	15
24.7	23	
24.8	19	19
24.9	19	
25.0	12	22
25.1	18	
25.2	18	
25.3	21	
25.4	18	
25.5	20	
25.6	18	
25.7	15	
25.8	15	
25.9	17	
26.0	16	
26.1	22	
26.2	19	
26.3	13	
26.4	14	
26.5	31	
26.6	27	
26.7	24	
26.8	19	
26.9	12	
27.0	11	
27.1	17	
27.2	14	
27.3	23	
27.4	13	
27.5	15	
27.6	17	
27.7	10	
27.8	14	
27.9	15	
28.0	15	
28.1	14	
