&b / °	R_0 / 1/s
2.0	4
2.1	2
2.2	2
2.3	2
2.4	3
2.5	2
2.6	2
2.7	2
2.8	3
2.9	3
3.0	3
3.1	4
3.2	3
3.3	3
3.4	2
3.5	4
3.6	4
3.7	2
3.8	2
3.9	7
4.0	6
4.1	26
4.2	85
4.3	194
4.4	285
4.5	437
4.6	506
4.7	578
4.8	638
4.9	674
5.0	729
5.1	730
5.2	767
5.3	774
5.4	757
5.5	732
5.6	709
5.7	693
5.8	704
5.9	626
6.0	623
6.1	580
6.2	706
6.3	918
6.4	961
6.5	729
6.6	584
6.7	502
6.8	450
6.9	477
7.0	706
7.1	1268
7.2	1717
7.3	1231
7.4	718
7.5	487
7.6	373
7.7	290
7.8	274
7.9	253
8.0	239
8.1	230
8.2	207
8.3	209
8.4	185
8.5	174
8.6	167
8.7	190
8.8	163
8.9	158
9.0	156
9.1	159
9.2	153
9.3	146
9.4	156
9.5	117
9.6	119
9.7	114
9.8	116
9.9	117
10.0	119
